noise_sigma,max_rotation_deg,max_translation_m,rotation_error_deg,translation_error_m,final_rmse,iterations
0,5,0.02,0.008408,0.000167,0.003280,5
0,30,0.1,0.011352,0.000009,0.003371,23
0,60,0.3,45.210509,0.000685,0.019794,27
0.005,5,0.02,0.012506,0.000122,0.008698,7
0.005,30,0.1,6.796630,0.000740,0.020290,32
0.005,60,0.3,0.006282,0.000059,0.008675,18
0.02,5,0.02,0.134777,0.001400,0.021965,34
0.02,30,0.1,3.987930,0.003049,0.024486,36
0.02,60,0.3,19.035265,0.001827,0.024341,48
